objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,temp1,temp2,temp3
dg_1712600268,47,,Libby's additions,"""Barlow: Vibrant, Varied Emotions"" Scarlet and Black December 8 1972 page 2",Scarlet and Black; Irma McClaurin; Ben Z Dreen,1972-12-08,"The Black Library became a space for events that featured Black scholarship and excellence. The article, ""Barlow: Vibrant, Varied Emotions"" Article by Irma McClaurin about Barlow's public reading in the Black Library, includes picture of the Black Library behind Barlow.",Black Library;Life at Grinnell for Black Students,Irma McClaurin '72,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600268.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600268_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600268_TN.jpg,,,,,
dg_1712600262,21,,Libby's additions,"""Blacks Commandeer Room in Burling"" Scarlet & Black, Feburary  18 1972",Scarlet & Black,1972-02-18,"The S&B article covers the 2nd Library Takeover. The main photo features Dean Walker addressing the students who were reshelving books in the Twentieth Century Room to protest the lack of a Black Library. Two other photos of students reshelving books and sitting in the 20th century room are included. The involvement of Professor Virginius Thorton is documented, as are his comments that he believed this action would lead to him being fired.",Burling Library;Burling Library Take Over of '71 & '72;Black Manifesto Demands;Black Library,"Virginius Thorton, Professor;  Waldo “Wally” Walker, Dean; Russell N. McGregor '73; Alan (Al) D. Wheat '72; Lawrence Wright; Allen Hammond ‘72; Conney Kimbo, Dean of Students",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600262.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600262_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600262_TN.jpg,,,,,
dg_1712600261,20,,Libby's additions,"""Enlarge the Black Library/"" Scarlet & Black Feburary  11 1972",Scarlet & Black,1972-02-11,The Scarlet and Black article “Enlarge the black library?” discussed the debate around the size of the Black library collection and included a sketch of three shelves the first iteration of the Black Library occupied.,Burling Library;Black Manifesto Demands;Black Library,"Waldo “Wally” Walker, Dean; Russell N. McGregor '73; Virginius Thorton, Professor;  Conney Kimbo, Dean of Students",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600261.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600261_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600261_TN.jpg,,,,,
dg_1712600259,11,,Libby's additions,"""Negotiation On Black Demands Continues; Student Meetings Scheduled for Tonight"" Scarlet & Black Dec 1 1971 v80 n 15",Scarlet & Black,1971-12-01,"On the morning of November 29th, 1971, over 50 students occupied Burling Library. At the time, the office of the president, as well as other college administrative offices, resided in Burling, and it was a main hub of campus activity. The students chained the doors, prevented white patrons from entering, and distributed The Black Manifesto: a list of 10 demands designed to improve campus life for black students and faculty. 

The Scarlet and Black included a photo taken outside the library during the Takeover, where the signs of the protesting students can be seen. This is possibly the only photo of the first Burling Library Take Over. The front article covers the different campus meetings that will discuss the demands made during the Burling Take Over. The article "" 'NBC' retracted"" reports on a racist flier that satirized the Black Manifesto.",Reactions to the Take Over;Burling Library Take Over of '71 & '72;Black Library,"Lawrence Wright; Virginius Thorton, Professor; Glenn Leggett, Grinnell President  1965-1975;  Waldo “Wally” Walker, Dean; Russell N. McGregor '73; Conney Kimbo, Dean of Students",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600259.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600259_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600259_TN.jpg,,,,,
dg_1712600260,45,,Libby's additions,"""Plan Black Library Expansion"" Scarlet & Black September 22, 1972",Scarlet and Black; ,1972-09-22,"This article reports that the library assembled 900+ books for the Black Library that will be housed in the 20th Century Room. Librarian Mary Gae Wyly is mentioned as the librarian primarily working on the collection. Other details include the collection development efforts, funding, potential events, and Leggat's guidelines for the space. Librarian Christopher Mckee states that he would really appreciate suggestions for the library. A photo of the Black Library is included.",Burling Library Take Over of '71 & '72;Black Manifesto Demands;Reactions to the Take Over;Black Library,"Mae Gae Wyly, Librarian; Glenn Leggett, Grinnell President  1965-1975; Virginius Thorton, Professor; Barry Huff '73; ",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600260.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600260_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600260_TN.jpg,,,,,
dg_1712600264,22,,Libby's additions,"""The S&B editorial: Black Library"" Scarlet & Black Feburary  18 1972, page 4",Scarlet & Black,1972-02-18,Includes Editorial about the Black Library that supports its creation.,Burling Library;Black Manifesto Demands;Reactions to the Take Over;Black Library,,Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600264.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600264_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600264_TN.jpg,,,,,
dg_1712600278,19,,Not rendering properly on the site? ,2nd Take over of Burling Library 20th Century Room,,1972-02,"Wally Walker speaking to CBS students in the 20th century room. Members of CBS felt that many of the promised made to address CBS’s demands were not being fulfilled. To encourage more momentum, students staged a second demonstration. This time, students reshelved books that should be included in the Black Library and placed them in the 20th Century Room, which is where CBS wanted the Black Library to be located.",Burling Library Take Over of '71 & '72;Concerned Black Students (CBS);Burling Library," Waldo “Wally” Walker, Dean",Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,,Image;StillImage,image/jpeg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600278.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600278_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600278_TN.jpg,,,,,
grinnell_10568,77,,,A Mandate for Hypocrisy: The Black Studies Major at Grinnell College,Garrett P. Shelton,1997-11-18,"This is an essay chronicling the history of the black studies major at Grinnell College, with an emphasis on the reasons it had such a short career. It also provides an overview of the CBS Manifesto of 1971.",Life at Grinnell for Black Students;Black Manifesto Demands,,Grinnell College,"41.749544663449115, -92.72117919739907",-92.72117919739907,Grinnell College,grinnell:10568,text; research paper,text/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-10568.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-10568_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-10568_TN.jpg,,,,,
grinnell_33987,97,,,"Alumni Recitation Hall, late 1960s",Tim Dartshorne;Ernie Rose,1969,"Students in the ARH, late 1960s. Ernie Rose, ‘71, standing left; Timothy Dartshorne, ‘71, sitting. Rose was an active member of CBS.",Life at Grinnell for Black Students,Ernie Rose'71,Alumni Recitation Hall,41.74842191416233,-92.72213824314315,Grinnell College,grinnell:33987,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-33987.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-33987_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-33987_TN.jpg,,,,,
grinnell_3611,2,,,Andrew Morgan Davis '71 and Professor McKibben at Burling Library,"Henry, George T.",1971,"Andrew Morgan Davis, class of 1971 and Professor McKibben at Burling Library.",Life at Grinnell for Black Students;Burling Library,Andrew Morgan Davis '71 ,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,grinnell:3611,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,https://dgobjects.blob.core.windows.net/objs/grinnell-3611.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell-3611_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell-3611_TN.jpg,,,https://digital.grinnell.edu/islandora/object/grinnell:3611/datastream/OBJ,,https://digital.grinnell.edu/islandora/object/grinnell:3611/datastream/TN/view
