objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,
grinnell_3601,1,,,Denise L. Iverson ’74 and Roxane D. Brown ’74 in the Black Cultural Center,"Henry, George T.",1971,Denise L. Iverson ’74 (at table) and Roxane D. Brown ’74 (at bookshelf) in the Black Cultural Center (BCC).,Black Cultural Center; BCC; ,"Grinnell, IA",41.75300289,-92.72210871,Grinnell College,grinnell:3601,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_3601_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_3601_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_3601_TN.jpg,,,https://digital.grinnell.edu/islandora/object/grinnell:3601/datastream/OBJ,,https://digital.grinnell.edu/islandora/object/grinnell:3601/datastream/TN/view
grinnell_3611,2,,,Andrew Morgan Davis '71 and Professor McKibben at Burling Library,"Henry, George T.",1971,"Andrew Morgan Davis, class of 1971 and Professor McKibben at Burling Library.",Burling Library; Life at Grinnell College,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:3611,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_3611_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_3611_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_3611_TN.jpg,,,https://digital.grinnell.edu/islandora/object/grinnell:3611/datastream/OBJ,,https://digital.grinnell.edu/islandora/object/grinnell:3611/datastream/TN/view
grinnell_3610,3,,,Outside of Burling Library and Forum,"Schultz, John",1974-05-03,Photo of the outside of Burling Library and Forum with Barbara L. Critton '75,Burling Library; Life at Grinnell College; Poweshiek History Preservation Project; forum,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:5160,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_3610_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_3610_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_3610_TN.jpg,,,https://digital.grinnell.edu/islandora/object/grinnell:3610/datastream/OBJ,,https://digital.grinnell.edu/islandora/object/grinnell:3610/datastream/TN/view
grinnell_5555,4,,,Student Sleeping in Burling Library,"Henry, George T.",1969-04-02,Photo of a student sleeping on one of the sofas in Burling Library.,Burling Library; Life at Grinnell; ,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:5555,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,,https://dgobjects.blob.core.windows.net/smalls/grinnell_5555_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5555_TN.jpg,,,,,
grinnell_12920,5,,,"Students in Forum, March 1969","Mcmullin, Roger",1969-03,"Three African American students sit in the Forum, March 1969. Left to right: Mattye L. Nelson (class of 1969), Karen M. Wooldridge (class of 1972), and L. Sherri DesChaps (class of 1969).",Students; Student Life; Life at Grinnell,"Grinnell, IA",41.74768813,-92.72151893,Grinnell College,grinnell:12920,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_12920_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_12920_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_12920_TN.jpg,,,,,
dg_1711470539,6,,"This WAS a compound parent grinnell:4979 with 5 TIFF ""pages"" but I've converted it to a PDF",Proposal for Black Library,Concerned Black Students,,A proposal for the Randal Morgan Collection in Burling Basement,Concerned Black Students; Burling Library,"Grinnell, IA",,,Grinnell College,grinnell:4979,text,text/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/dg_1711470539_OBJ.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1711470539_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1711470539_TN.jpg,,,,,
grinnell_4977,7,,,Speakeasy,Concerned Black Students,,An invitation from CBS to Speakeasy,Concerned Black Students; Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:4977,Ephemera;text,text/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_4977_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_4977_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_4977_TN.jpg,,,,,
grinnell_26787,8,,,ERA,"Farbes, Hubert '69",1969,"Students examining nature. Left to right: Hubert Farbes '69, Unknown.",Concerned Black Students; Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:26787,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_26787_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_26787_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_26787_TN.jpg,,,,,
grinnell_5002,9,,,Black Expressions,,1969-03,"Photo of Booker T. Carter '71, Ernest T. Weston '71, Gregory M. Coggs '70, Frank E. Thomas '71",Concerned Black Students; Life at Grinnell,"Grinnell, IA",41.74768813,-92.72151893,Grinnell College,grinnell:5002,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5002_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5002_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5002_TN.jpg,,,,,
grinnell_33987,10,,,"Alumni Recitation Hall, late 1960s",Tim Dartshorne;Ernie Rose,1969,"Students in the ARH, late 1960s. Ernie Rose, class of 1971, standing left; Timothy Dartshorne, class of 1971, sitting.",Life at Grinnell,"Grinnell, IA",41.7485205,-92.72209265,Grinnell College,grinnell:33987,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_33987_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_33987_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_33987_TN.jpg,,,,,
